Term,Services,Definition
COMMIT,[A/A] [S/A],Directive call to intercept a GROUP of interest.
CONTACT,[ALL],Sensor contact at the stated position.
CONTINUE,[A/S],Continue present maneuver; does not imply a change in clearance to engage or expend ordnance.
CRUISE,[ALL],Return to cruise speed after BUSTER or GATE.
DEADSTICK,[ALL],Directive or informative call indicating a loss of all engine power.
DEFENDING [direction],[A/A] [S/A],Aircraft is in a defensive maneuver and reacting to a threat.
DETAILS,[A/S],Request for additional target information/description.
DRAG [direction],[A/A],CONTACT stabilized at 0-60 degrees aspect.
DOUBLE TAP,[A/S],Two weapons employed against the same target.
ELEVATOR,[ALL],Directive to change altitude to the stated level.
FADED,[A/A] [S/A],Sensor data is lost on GROUP or CONTACT.
FLANK [direction],[A/A],CONTACT stabilized at 120-150 degrees aspect.
FLASHLIGHT,[A/S],Directive to turn on IR floodlight or searchlight.
FOX [1/2/3],[A/A],"Simulated or actual launch of air-to-air weapons (1=Semi-active, 2=IR, 3=Active)."
GADGET,[ALL],Radar or emitter equipment.
GATE,[ALL],"Fly as fast as possible, using reheat/afterburner."
GIMBAL,[A/A],Sensor target is approaching azimuth or elevation tracking limits.
GO ACTIVE,[ALL],Go to briefed radio frequency/channel using hopping/secure crypto.
HITS,[A/A],Momentary radar return(s).
HOT,[A/A],Turn in the CAP toward the anticipated threat.
HUSKY,[A/A],Active radar missile is at high pulse repetition frequency (HPRF) active range.
JESTER [color],[A/S],Ground-based laser designator is on.
JOKER,[ALL],Fuel status above BINGO at which separation or termination should begin.
LAME DUCK,[ALL],An aircraft in a minor state of emergency.
LEEROY,[A/S],Air-to-ground ordnance release without specific coordination (emergency/tactical).
LIGHTS [ON/OFF],[ALL],Directive to turn on/off all external lights.
LINER,[ALL],Fly at speed giving maximum cruising range.
LONG RIFLE,[A/S],"FRIENDLY long-range air-to-surface missile (e.g., AGM-130)."
LOWDOWN,[ALL],A request for the tactical ground picture in an area of interest.
MATE,[A/A],Directive to join formation.
MELD,[A/A],Bias radar coverage and scan volume to gain situation awareness on the assigned GROUP.
MICKEY,[ALL],HAVE QUICK time-of-day (TOD) signal.
MUD [type/dir],[S/A] [EW],RWR ground threat indication with no launch indication.
NAILS [direction],[A/A],RWR indication of AI radar in search.
NAKED,[A/A],No RWR indications.
PITBULL,[A/A],Active radar missile is at medium pulse repetition frequency (MPRF) active range.
REMINGTON,[A/A] [A/S],No air-to-air or air-to-surface ordnance remaining except for self-protection.
RIFLE,[A/S],FRIENDLY air-to-surface missile launch.
ROLEX,[ALL],Timeline adjustment in minutes; always a delay from planned time.
ROOSTER,[A/S],FRIENDLY net-enabled weapon.
SCORPION,[A/S],Target has been designated for an overhead attack.
SHACKLE,[A/A],One weave; a single crossing of flight paths.
SKATE,[A/A],Execute(ing) launch and leave tactics.
SLICE,[A/A],Perform high-G descending turn in the stated direction.
SMACK,[A/S],Clearance to employ ordnance/fires on surface target coordinates.
SNIPER,[A/S],Aircraft is using a targeting pod.
SORT,[A/A],Assignment of responsibility within a GROUP.
SOUR,[ALL],Equipment indicated is operating inefficiently (opposite of SWEET).
SPIKE(D),[A/A] [S/A],RWR indication of an AI threat in track or launch.
SPLASH(ED),[A/A] [A/S],Target destroyed.
SPREAD,[A/A],Directive to enter a tactical spread formation.
STROBE(S),[A/A],Radar indication(s) of noise jamming.
SWEET,[ALL],Equipment indicated is operating efficiently.
TIGER,[A/A],Enough fuel and ordnance to accept a commitment.
TIMEOUT,[A/A] [A/S],Shooter assesses valid BVR shot parameters have been met and missile has reached termination.
TRASHED,[A/A],FRIENDLY missile defeated.
TSUNAMI,[A/S],A large-scale synchronized air-to-ground strike.
TWEET(ING),[ALL],Data link communication occurring.
VANISHED,[A/A] [S/A],Special case of FADED where contact is lost after a shot.
WATCHING,[A/A] [A/S],Maintain sensor track on the specified object.
WAVE,[A/A],Directive to separate and re-engage.
WORDS,[ALL],Directive or request for further information or directives.
ZIPLIP,[ALL],Limit transmissions to critical information only.
